pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.04,0,0,10669,10137,9946,10074,10592,10442,10240,0,-347,0
0.04,0,0,10668,10138,9947,10075,10592,10442,10240,-1,-347,-1
-0.05,0,0,10669,10138,9946,10074,10592,10442,10239,0,-346,-1
-0.05,0,0,10668,10138,9946,10075,10592,10442,10240,-1,-346,0
0.09,0,0,10669,10138,9947,10075,10592,10442,10240,0,-347,-1
0.94,0,0,10669,10137,9947,10074,10592,10442,10239,0,-347,0
2.02,0,0,10668,10138,9946,10073,10592,10442,10238,1,-347,0
2.3,0,0.05,10669,10137,9947,10073,10592,10442,10236,2,-347,2
2.84,0,0.05,10669,10137,9946,10074,10592,10441,10237,3,-348,2
3.57,0,0.09,10668,10138,9945,10073,10591,10441,10236,4,-349,3
4.06,0,0.05,10668,10138,9945,10073,10591,10440,10235,5,-349,4
4.75,0,0.1,10668,10139,9944,10072,10591,10441,10235,6,-350,5
4.96,0,0.15,10669,10139,9944,10072,10591,10440,10234,6,-350,6
5.3,0,0.15,10668,10137,9944,10072,10592,10439,10234,7,-349,8
5.88,0,0.1,10668,10138,9944,10072,10590,10440,10233,7,-350,8
6.57,0,0.1,10668,10138,9943,10072,10591,10440,10232,9,-351,9
7.03,0,0.2,10668,10137,9944,10071,10590,10439,10230,9,-352,9
7.36,0,0.19,10667,10138,9943,10071,10591,10440,10230,11,-352,10
7.85,0,0.2,10667,10139,9942,10070,10590,10440,10229,11,-352,11
8.64,0,0.2,10667,10138,9941,10070,10590,10439,10229,12,-352,12
9.08,0,0.2,10668,10140,9941,10069,10589,10439,10228,13,-353,14
9.88,0,0.2,10667,10138,9940,10070,10590,10440,10226,14,-353,13
9.93,0,0.25,10666,10138,9939,10070,10590,10439,10225,16,-353,16
10.42,0,0.25,10667,10138,9939,10069,10589,10440,10225,16,-354,16
10.8,0,0.24,10667,10138,9938,10069,10589,10439,10223,17,-354,17
11.6,0,0.29,10666,10138,9938,10069,10588,10439,10221,18,-353,18
12.04,0,0.3,10667,10140,9939,10068,10589,10439,10221,19,-355,18
12.38,0,0.29,10666,10139,9937,10069,10589,10438,10217,20,-354,19
12.8,0,0.29,10666,10139,9936,10068,10589,10439,10214,23,-355,20
13.5,0,0.25,10666,10138,9935,10067,10588,10438,10210,22,-355,21
14.06,0,0.34,10666,10139,9936,10067,10587,10438,10206,23,-356,22
14.34,0,0.3,10666,10138,9936,10067,10588,10438,10204,24,-356,24
14.97,0,0.3,10665,10139,9935,10066,10587,10437,10203,26,-356,25
15.65,0,0.34,10666,10138,9934,10067,10588,10437,10201,27,-355,26
15.97,0,0.34,10666,10139,9937,10067,10587,10437,10199,29,-355,27
16.46,0,0.39,10665,10139,9936,10067,10586,10436,10199,30,-357,27
16.94,0,0.39,10666,10139,9935,10066,10586,10436,10197,30,-356,28
17.74,0,0.39,10665,10140,9934,10065,10587,10436,10196,31,-356,30
18.17,0,0.39,10665,10140,9934,10065,10586,10436,10195,33,-357,30
18.88,0,0.44,10665,10138,9934,10065,10587,10435,10194,33,-357,31
18.87,0,0.39,10665,10138,9933,10065,10586,10435,10192,35,-358,32
19.51,0,0.45,10665,10138,9932,10065,10586,10435,10191,35,-358,34
19.67,0,0.63,10665,10139,9933,10065,10585,10435,10189,37,-357,34
19.52,0,0.97,10665,10139,9930,10064,10586,10435,10189,36,-358,34
19.47,0,0.89,10665,10140,9932,10064,10585,10435,10189,36,-358,35
19,0,0.93,10665,10139,9932,10064,10586,10435,10189,37,-357,35
18.07,0,0.93,10664,10138,9933,10064,10585,10435,10189,36,-359,36
17.23,0,0.93,10665,10138,9933,10063,10585,10435,10189,36,-359,35
17.1,0,0.99,10665,10138,9933,10064,10585,10435,10190,34,-358,33
16.57,0,0.98,10665,10138,9933,10065,10585,10435,10191,35,-357,34
15.91,0,0.99,10665,10138,9934,10065,10586,10435,10190,34,-358,33
15.25,0,0.94,10665,10138,9934,10065,10586,10435,10192,33,-357,32
15.04,0,0.98,10665,10138,9935,10065,10586,10435,10193,31,-357,31
14.55,0,1.03,10665,10138,9935,10065,10586,10437,10194,31,-358,30
14,0,0.98,10665,10139,9935,10066,10586,10435,10195,31,-356,30
13.28,0,0.98,10666,10138,9935,10065,10586,10437,10195,29,-357,29
12.93,0,1.03,10666,10137,9935,10066,10587,10436,10197,29,-357,28
12.54,0,0.99,10665,10138,9935,10065,10587,10436,10197,27,-357,27
12.11,0,0.93,10666,10138,9937,10066,10586,10437,10199,27,-357,26
11.37,0,0.99,10666,10138,9937,10068,10587,10438,10200,26,-356,27
10.98,0,0.98,10666,10138,9937,10066,10587,10437,10201,25,-356,25
10.18,0,0.98,10665,10138,9937,10067,10587,10437,10201,23,-356,25
10.18,0,0.98,10666,10137,9937,10067,10587,10437,10203,22,-356,23
9.65,0,0.98,10666,10138,9938,10068,10588,10437,10205,22,-356,22
9.25,0,0.98,10666,10137,9938,10068,10587,10438,10205,20,-355,22
8.37,0,0.93,10666,10137,9939,10068,10588,10438,10207,20,-355,20
7.92,0,0.98,10666,10138,9939,10068,10588,10439,10208,19,-354,20
7.73,0,0.98,10667,10137,9940,10068,10588,10439,10209,18,-354,19
7.2,0,0.94,10667,10137,9939,10069,10588,10439,10211,16,-353,18
6.56,0,0.94,10666,10137,9940,10069,10589,10439,10213,16,-354,17
6.35,0,0.98,10665,10137,9940,10069,10588,10440,10215,15,-353,17
5.45,0,0.98,10667,10137,9941,10069,10588,10440,10215,13,-353,16
5.16,0,0.94,10667,10136,9941,10070,10589,10440,10218,12,-353,15
4.73,0,0.98,10667,10138,9942,10069,10589,10440,10220,12,-353,12
4.29,0,0.93,10668,10138,9941,10070,10590,10440,10221,11,-351,13
3.56,0,0.93,10668,10138,9942,10070,10589,10441,10224,9,-352,11
2.88,0,0.89,10668,10137,9943,10071,10590,10441,10225,7,-352,10
2.22,0,0.94,10668,10137,9943,10072,10590,10442,10228,7,-351,9
