pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.04,0,0,10669,10137,9946,10074,10592,10442,10240,0,-347,0
0,0,0,10668,10137,9947,10074,10592,10442,10240,0,-347,0
0,0,0,10669,10137,9945,10075,10592,10442,10239,-1,-347,1
0.04,0,0,10669,10138,9948,10074,10592,10442,10240,0,-347,-1
0.04,0,0,10669,10138,9946,10075,10591,10442,10240,0,-347,0
0.04,0,0,10668,10138,9947,10075,10592,10442,10240,-1,-347,-1
0,0,0,10668,10137,9947,10074,10592,10441,10239,0,-346,-1
0,0,0,10668,10137,9947,10074,10592,10441,10239,-1,-347,-1
0.04,0,0,10669,10136,9948,10074,10592,10442,10239,0,-346,-1
-0.05,0,0,10669,10137,9947,10075,10592,10441,10240,0,-346,0
-0.05,0,0,10669,10138,9946,10074,10592,10442,10239,0,-346,-1
-0.05,0,0,10669,10137,9947,10074,10592,10441,10239,0,-347,-1
-0.05,0,0,10669,10138,9947,10074,10591,10442,10239,0,-347,-1
0,0,0,10669,10137,9946,10075,10592,10442,10239,-1,-346,0
-0.04,0,0,10669,10138,9948,10075,10592,10441,10239,0,-347,0
-0.05,0,0,10668,10138,9946,10075,10592,10442,10240,-1,-346,0
0,0,0,10669,10137,9947,10075,10592,10442,10239,-1,-347,0
0,0,0,10669,10137,9947,10075,10592,10442,10239,-1,-347,-1
0,0,0,10669,10137,9947,10074,10592,10442,10239,0,-346,0
0.05,0,-0.05,10669,10137,9946,10074,10592,10441,10239,0,-346,-1
0.09,0,0,10669,10138,9947,10075,10592,10442,10240,0,-347,-1
0.14,0,0,10669,10138,9947,10074,10592,10441,10239,0,-347,-1
0.28,0,0,10669,10138,9946,10074,10592,10441,10240,0,-346,0
0.38,0,0,10669,10139,9946,10075,10591,10442,10240,0,-346,0
0.52,0,0.04,10669,10138,9947,10075,10592,10442,10239,0,-346,-1
0.94,0,0,10669,10137,9947,10074,10592,10442,10239,0,-347,0
1.24,0,0,10669,10137,9945,10074,10592,10442,10239,1,-346,0
1.5,0,0.04,10669,10137,9948,10074,10591,10442,10239,1,-347,1
1.7,0,0,10669,10138,9947,10074,10592,10440,10239,1,-348,0
2.02,0,0.05,10669,10137,9947,10073,10592,10442,10238,0,-346,0
2.02,0,0,10668,10138,9946,10073,10592,10442,10238,1,-347,0
2.06,0,0,10669,10138,9946,10074,10592,10441,10237,1,-348,0
2.06,0,0.04,10668,10137,9945,10074,10592,10442,10237,1,-347,1
2.11,0,0.05,10669,10138,9946,10074,10591,10442,10237,0,-347,2
2.25,0,0.05,10669,10138,9946,10075,10591,10441,10238,1,-348,1
2.3,0,0.05,10669,10137,9947,10073,10592,10442,10236,2,-347,2
2.49,0,0.05,10668,10137,9946,10074,10591,10441,10237,2,-348,1
2.51,0,0,10668,10137,9944,10074,10592,10441,10238,3,-347,3
2.64,0,0,10669,10138,9945,10074,10592,10441,10237,2,-348,2
2.7,0,0.09,10668,10137,9946,10073,10592,10441,10237,3,-348,2
2.84,0,0.05,10669,10137,9946,10074,10592,10441,10237,3,-348,2
2.98,0,0.09,10669,10138,9947,10074,10592,10441,10237,3,-349,2
3.13,0,0.05,10668,10137,9946,10073,10592,10441,10237,3,-349,2
3.28,0,0.05,10669,10137,9945,10074,10592,10441,10237,3,-349,3
3.42,0,0.05,10668,10138,9946,10073,10591,10441,10236,4,-347,4
3.57,0,0.09,10668,10138,9945,10073,10591,10441,10236,4,-349,3
3.68,0,0.1,10669,10137,9945,10073,10591,10440,10236,4,-349,3
3.73,0,0.05,10668,10138,9946,10073,10591,10441,10236,4,-349,3
3.82,0,0.09,10668,10138,9945,10073,10592,10441,10235,5,-348,3
3.88,0,0.1,10669,10138,9945,10073,10592,10441,10236,5,-348,4
4.06,0,0.05,10668,10138,9945,10073,10591,10440,10235,5,-349,4
4.3,0,0.09,10668,10138,9945,10073,10591,10442,10235,5,-349,4
4.46,0,0.1,10668,10139,9945,10073,10591,10442,10236,5,-349,4
4.56,0,0.14,10668,10139,9944,10072,10591,10440,10235,5,-349,4
4.62,0,0.15,10669,10137,9945,10074,10591,10441,10235,5,-349,5
4.75,0,0.1,10668,10139,9944,10072,10591,10441,10235,6,-350,5
4.86,0,0.14,10669,10137,9944,10072,10591,10441,10234,6,-350,5
5,0,0.15,10669,10138,9945,10072,10591,10441,10235,7,-350,5
4.97,0,0.1,10668,10138,9944,10073,10591,10441,10234,7,-350,6
4.96,0,0.14,10668,10139,9943,10071,10591,10440,10234,6,-350,5
4.96,0,0.15,10669,10139,9944,10072,10591,10440,10234,6,-350,6
5.05,0,0.15,10668,10138,9944,10072,10591,10441,10233,6,-350,7
5.11,0,0.15,10668,10138,9943,10073,10591,10440,10234,7,-350,7
5.2,0,0.19,10668,10138,9944,10072,10590,10440,10233,7,-349,7
