0,0,0,1.25,0.350000000000364,-0.799999999999272,1.10000000000036,-0.649999999999636,0.25,-0.5,0,-346,0
0,0,0,-0.75,-0.649999999999636,-0.799999999999272,0.100000000000364,-0.649999999999636,-0.75,0.5,0,-346,0
-0.04,0,0,0.25,0.350000000000364,0.200000000000728,0.100000000000364,0.350000000000364,0.25,-0.5,-1,-347,0
-0.04,0,0,-0.75,0.350000000000364,-0.799999999999272,0.100000000000364,0.350000000000364,0.25,-0.5,-1,-346,0
0,0,0,0.25,0.350000000000364,0.200000000000728,0.100000000000364,-0.649999999999636,0.25,0.5,1,-346,0
0,0,0,-0.75,0.350000000000364,0.200000000000728,0.100000000000364,0.350000000000364,0.25,0.5,0,-346,0
0.44,0,0,0.25,0.350000000000364,1.20000000000073,0.100000000000364,-0.649999999999636,0.25,-0.5,0,-347,0
1.58,0,0,0.25,-0.649999999999636,0.200000000000728,0.100000000000364,0.350000000000364,-0.75,-1.5,1,-347,1
1.47,0,0.04,0.25,0.350000000000364,0.200000000000728,0.100000000000364,0.350000000000364,0.25,-0.5,2,-347,1
1.67,0,0,1.25,0.350000000000364,-0.799999999999272,-0.899999999999636,0.350000000000364,0.25,-0.5,1,-347,2
1.91,0,0.01,0.25,1.35000000000036,-0.799999999999272,-0.899999999999636,-0.649999999999636,0.25,-1.5,3,-347,2
2.31,0,0,-3.75,0.350000000000364,-1.79999999999927,-0.899999999999636,0.350000000000364,0.25,-1.5,2,-347,2
2.41,0,0,-1.75,0.350000000000364,-1.79999999999927,-0.899999999999636,0.350000000000364,-0.75,-2.5,4,-348,3
2.7,0,0.05,-0.75,0.350000000000364,-2.79999999999927,-0.899999999999636,0.350000000000364,-0.75,-2.5,4,-348,3
2.9,0,0.05,-0.75,0.350000000000364,-2.79999999999927,-1.89999999999964,0.350000000000364,0.25,-2.5,5,-348,3
3.24,0,0.05,0.25,-1.64999999999964,-1.79999999999927,-1.89999999999964,-0.649999999999636,-0.75,-3.5,5,-348,4
3.57,0,0.09,-0.75,0.350000000000364,-3.79999999999927,-0.899999999999636,-0.649999999999636,-0.75,-3.5,5,-348,4
3.93,0,0.05,0.25,0.350000000000364,-2.79999999999927,-1.89999999999964,0.350000000000364,-0.75,-3.5,6,-348,5
3.94,0,0.09,-1.75,0.350000000000364,-3.79999999999927,-2.89999999999964,-0.649999999999636,-0.75,-4.5,7,-349,5
4.08,0,0.09,0.25,0.350000000000364,-1.79999999999927,-1.89999999999964,-0.649999999999636,-0.75,-3.5,6,-349,6
4.37,0,0.05,-1.75,0.350000000000364,-4.79999999999927,-2.89999999999964,-0.649999999999636,-0.75,-4.5,7,-349,6
4.76,0,0.1,0.25,0.350000000000364,-2.79999999999927,-1.89999999999964,-0.649999999999636,-0.75,-4.5,7,-349,6
4.96,0,0.1,-0.75,0.350000000000364,-4.79999999999927,-3.89999999999964,-0.649999999999636,-1.75,-4.5,8,-349,7
