pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0.00,0.00,0.00,10688,10190,9965,10264,9587,10275,10198,0.0,-363.0,0.0
0.00,0.00,0.00,10688,10190,9965,10265,9588,10276,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10689,10190,9964,10265,9586,10276,10198,0.0,-363.0,-1.0
0.00,0.00,0.00,10688,10189,9963,10265,9589,10276,10198,0.0,-363.0,0.0
0.00,0.00,0.00,10689,10189,9964,10265,9587,10276,10197,0.0,-363.0,-2.0
0.00,0.00,0.00,10689,10190,9963,10264,9587,10277,10197,0.0,-363.0,-2.0
0.00,0.00,0.00,10688,10189,9963,10265,9588,10275,10198,0.0,-363.0,-1.0
0.00,0.00,0.00,10688,10189,9963,10265,9588,10275,10198,0.0,-363.0,-1.0
0.00,0.00,0.00,10689,10190,9965,10265,9587,10275,10198,0.0,-363.0,-1.0
0.00,0.00,0.00,10689,10189,9965,10265,9588,10276,10197,0.0,-363.0,0.0
0.00,0.00,0.00,10689,10189,9965,10265,9588,10276,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10689,10190,9965,10265,9588,10276,10198,0.0,-363.0,-1.0
0.00,0.00,0.00,10689,10189,9965,10265,9588,10275,10197,0.0,-363.0,-2.0
0.00,0.00,0.00,10689,10189,9965,10265,9588,10275,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10688,10189,9965,10265,9589,10275,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10688,10189,9965,10265,9588,10275,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10688,10190,9963,10265,9588,10275,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10688,10190,9963,10265,9588,10276,10197,0.0,-363.0,0.0
0.00,0.00,0.00,10688,10190,9965,10265,9587,10276,10197,0.0,-363.0,-1.0
0.00,0.00,0.00,10689,10189,9963,10265,9587,10277,10198,0.0,-363.0,-2.0
-0.04,-0.13,0.04,10688,10190,9966,10265,9588,10276,10197,0.0,-363.0,-1.0
-0.00,-0.19,0.05,10688,10190,9964,10264,9588,10275,10197,0.0,-363.0,-1.0
-0.00,-0.15,0.05,10689,10190,9965,10265,9588,10276,10197,0.0,-363.0,-1.0
-0.04,-0.19,0.00,10689,10189,9964,10265,9587,10276,10197,0.0,-363.0,-1.0
0.04,-0.15,0.04,10689,10190,9965,10264,9589,10276,10197,0.0,-363.0,-2.0
0.14,-0.19,0.09,10688,10189,9964,10265,9588,10276,10197,0.0,-363.0,0.0
0.23,-0.20,0.10,10689,10190,9965,10265,9587,10276,10197,0.0,-363.0,-1.0
0.47,-0.20,0.10,10689,10190,9962,10265,9588,10276,10197,0.0,-363.0,-1.0
0.75,-0.20,0.10,10688,10189,9964,10265,9588,10276,10197,0.0,-363.0,-1.0
1.00,-0.15,0.10,10688,10190,9965,10265,9588,10276,10197,0.0,-363.0,-1.0
1.21,-0.15,0.05,10688,10189,9964,10264,9588,10275,10198,0.0,-363.0,-1.0
1.49,-0.15,0.05,10688,10190,9964,10263,9589,10277,10198,0.0,-363.0,-2.0
1.79,-0.19,0.09,10689,10190,9963,10264,9589,10276,10198,0.0,-363.0,-1.0
2.08,-0.15,0.05,10688,10189,9964,10263,9589,10277,10197,0.0,-363.0,-1.0
2.24,-0.19,0.09,10688,10189,9962,10263,9589,10276,10197,0.0,-363.0,-1.0
2.48,-0.20,0.10,10688,10189,9963,10262,9589,10276,10198,0.0,-363.0,-1.0
2.77,-0.15,0.10,10688,10188,9962,10263,9589,10276,10198,0.0,-363.0,-1.0
2.93,-0.15,0.10,10687,10189,9962,10261,9588,10275,10197,0.0,-364.0,-2.0
3.12,-0.19,0.10,10687,10189,9961,10260,9589,10276,10198,0.0,-363.0,-2.0
3.37,-0.11,0.14,10687,10188,9960,10260,9588,10276,10198,0.0,-363.0,-2.0
