pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0.00,0.00,0.00,10681,10187,9958,10258,9583,10266,10189,0.0,-363.0,0.0
0.00,0.00,0.00,10681,10187,9958,10258,9583,10265,10189,0.0,-363.0,0.0
0.00,0.00,0.00,10681,10187,9959,10259,9584,10265,10190,0.0,-364.0,0.0
0.00,0.00,0.00,10681,10187,9959,10259,9583,10266,10189,0.0,-364.0,-1.0
0.00,0.00,0.00,10681,10187,9959,10259,9583,10266,10189,0.0,-364.0,0.0
0.00,0.00,0.00,10681,10186,9958,10258,9583,10266,10189,0.0,-363.0,-1.0
0.00,0.00,0.00,10681,10187,9957,10258,9583,10266,10188,0.0,-364.0,0.0
0.00,0.00,0.00,10681,10187,9959,10258,9582,10265,10189,0.0,-363.0,-1.0
0.00,0.00,0.00,10681,10187,9959,10259,9583,10266,10189,0.0,-363.0,0.0
0.00,0.00,0.00,10681,10187,9956,10259,9583,10265,10189,0.0,-364.0,-1.0
0.00,0.00,0.00,10680,10186,9958,10258,9582,10266,10190,0.0,-364.0,0.0
0.00,0.00,0.00,10680,10186,9958,10258,9582,10266,10190,0.0,-364.0,-1.0
0.00,0.00,0.00,10681,10186,9959,10259,9583,10266,10190,0.0,-364.0,-1.0
0.00,0.00,0.00,10681,10187,9959,10259,9583,10265,10189,0.0,-363.0,-1.0
0.00,0.00,0.00,10680,10187,9958,10259,9584,10266,10190,0.0,-364.0,-1.0
0.00,0.00,0.00,10680,10187,9958,10259,9584,10265,10190,0.0,-364.0,0.0
0.00,0.00,0.00,10681,10187,9958,10259,9583,10265,10189,0.0,-364.0,0.0
0.00,0.00,0.00,10681,10187,9958,10259,9582,10266,10190,0.0,-364.0,-1.0
0.00,0.00,0.00,10682,10188,9959,10258,9583,10266,10190,0.0,-364.0,0.0
0.00,0.00,0.00,10681,10187,9959,10259,9583,10265,10190,0.0,-364.0,0.0
2.30,0.22,0.04,10681,10187,9958,10259,9583,10265,10189,0.0,-364.0,-1.0
2.55,0.29,0.10,10681,10187,9960,10258,9583,10266,10189,0.0,-364.0,-1.0
2.47,0.25,0.05,10681,10188,9959,10258,9581,10265,10189,0.0,-363.0,-1.0
2.50,0.29,0.09,10681,10187,9957,10258,9583,10265,10189,0.0,-364.0,-1.0
2.42,0.29,0.10,10680,10187,9959,10259,9583,10265,10189,0.0,-363.0,-1.0
2.41,0.47,0.05,10681,10187,9957,10259,9583,10265,10189,0.0,-363.0,-1.0
2.36,0.76,0.09,10681,10187,9960,10258,9582,10266,10189,0.0,-363.0,0.0
2.36,1.09,0.10,10681,10187,9958,10259,9583,10266,10189,0.0,-363.0,-1.0
2.32,1.39,0.10,10681,10187,9959,10259,9583,10266,10190,0.0,-364.0,-1.0
2.22,1.69,0.10,10680,10188,9959,10259,9583,10266,10189,0.0,-364.0,-1.0
2.17,1.98,0.10,10681,10187,9957,10258,9584,10266,10190,0.0,-364.0,0.0
2.16,2.19,0.10,10681,10188,9959,10258,9584,10266,10189,0.0,-364.0,0.0
2.12,2.48,0.10,10681,10187,9958,10258,9583,10266,10188,0.0,-363.0,0.0
2.11,2.73,0.05,10681,10187,9958,10256,9584,10265,10189,1.0,-364.0,0.0
2.11,2.97,0.09,10681,10188,9959,10257,9583,10267,10189,1.0,-364.0,0.0
2.07,3.22,0.10,10680,10187,9956,10257,9582,10266,10188,1.0,-364.0,1.0
1.80,3.51,0.10,10680,10187,9956,10257,9583,10266,10189,1.0,-363.0,1.0
1.46,3.76,0.05,10680,10187,9957,10256,9584,10266,10189,1.0,-364.0,1.0
1.47,3.96,0.09,10680,10187,9957,10256,9584,10266,10187,2.0,-363.0,1.0
1.56,4.20,0.10,10680,10187,9957,10255,9584,10266,10187,1.0,-364.0,1.0
1.53,4.49,0.14,10680,10187,9955,10255,9583,10266,10187,2.0,-364.0,2.0
1.62,4.71,0.10,10679,10188,9956,10255,9584,10266,10189,2.0,-363.0,2.0
1.62,4.90,0.10,10680,10187,9955,10255,9583,10267,10187,2.0,-364.0,2.0
1.62,5.05,0.05,10680,10187,9955,10254,9584,10265,10187,3.0,-364.0,3.0
1.67,5.33,0.14,10679,10187,9953,10254,9583,10266,10186,3.0,-363.0,3.0
1.67,5.53,0.06,10679,10188,9954,10254,9584,10266,10187,3.0,-364.0,4.0
1.67,5.77,0.14,10679,10187,9952,10252,9583,10266,10186,3.0,-364.0,4.0
1.72,5.98,0.15,10679,10186,9953,10251,9584,10266,10187,4.0,-364.0,5.0
1.76,6.22,0.10,10679,10187,9952,10251,9582,10266,10186,4.0,-363.0,5.0
1.73,6.42,0.10,10678,10186,9952,10250,9583,10266,10186,4.0,-364.0,5.0
1.77,6.61,0.14,10678,10187,9952,10250,9584,10267,10185,5.0,-363.0,5.0
1.77,6.81,0.15,10678,10188,9950,10249,9584,10266,10185,5.0,-364.0,6.0
1.81,6.96,0.10,10677,10187,9951,10249,9584,10265,10184,5.0,-364.0,6.0
1.91,7.20,0.14,10677,10187,9950,10248,9584,10266,10185,5.0,-364.0,7.0
