pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0.05,0.01,-0.04,10677,10186,9954,10254,9582,10260,10183,0.0,-364.0,0.0
0.05,0.09,-0.05,10677,10185,9951,10253,9582,10260,10182,0.0,-364.0,0.0
0.09,0.10,-0.05,10678,10186,9952,10254,9582,10261,10182,0.0,-364.0,1.0
0.05,0.10,-0.05,10678,10185,9952,10253,9582,10261,10183,0.0,-364.0,1.0
0.05,0.05,-0.14,10678,10186,9952,10254,9582,10261,10182,0.0,-364.0,1.0
0.09,0.05,-0.06,10677,10187,9953,10252,9581,10261,10183,0.0,-364.0,1.0
0.10,0.00,-0.01,10678,10185,9954,10254,9582,10262,10182,0.0,-364.0,0.0
0.10,0.09,-0.04,10678,10185,9954,10254,9582,10262,10182,0.0,-364.0,1.0
0.05,0.10,-0.00,10677,10185,9951,10253,9583,10261,10182,0.0,-364.0,1.0
0.09,0.10,-0.04,10676,10186,9952,10253,9582,10261,10181,0.0,-364.0,1.0
0.05,0.10,-0.05,10678,10186,9952,10254,9582,10261,10181,0.0,-364.0,1.0
0.05,0.05,-0.00,10678,10185,9952,10253,9582,10259,10183,0.0,-364.0,1.0
0.09,0.05,-0.04,10678,10186,9953,10254,9582,10261,10182,0.0,-364.0,1.0
0.05,0.09,-0.05,10678,10186,9953,10254,9582,10261,10182,1.0,-364.0,1.0
0.05,0.10,-0.05,10678,10186,9952,10254,9581,10260,10182,0.0,-364.0,1.0
0.05,0.05,-0.05,10678,10185,9951,10254,9583,10261,10184,0.0,-364.0,1.0
0.05,0.09,-0.00,10678,10186,9950,10253,9582,10260,10182,0.0,-364.0,0.0
0.05,0.05,-0.04,10678,10186,9953,10253,9582,10260,10182,0.0,-364.0,0.0
0.05,0.05,-0.05,10678,10186,9953,10253,9582,10260,10182,0.0,-364.0,1.0
0.05,0.05,-0.05,10678,10185,9953,10253,9582,10261,10183,0.0,-364.0,0.0
0.00,0.09,-0.00,10678,10186,9953,10254,9582,10261,10183,1.0,-364.0,1.0
0.10,0.05,-0.05,10678,10186,9952,10254,9581,10261,10182,0.0,-364.0,1.0
0.05,0.05,-0.00,10678,10186,9953,10254,9582,10261,10183,0.0,-364.0,1.0
0.05,0.05,-0.09,10678,10186,9953,10253,9582,10261,10182,0.0,-364.0,1.0
0.05,0.05,-0.05,10678,10186,9953,10254,9582,10261,10181,0.0,-364.0,1.0
0.05,0.09,-0.05,10678,10185,9952,10253,9582,10260,10182,0.0,-364.0,1.0
0.05,0.10,-0.05,10678,10186,9953,10254,9582,10261,10183,0.0,-364.0,1.0
0.05,0.10,-0.05,10678,10186,9953,10254,9582,10260,10183,0.0,-364.0,1.0
0.09,0.10,-0.05,10678,10186,9953,10254,9580,10261,10182,0.0,-364.0,1.0
0.05,0.10,-0.05,10678,10185,9953,10254,9582,10260,10182,0.0,-364.0,1.0
0.05,0.19,-0.05,10678,10186,9950,10254,9580,10260,10182,0.0,-364.0,1.0
0.09,0.28,-0.05,10678,10185,9955,10254,9583,10261,10183,0.0,-364.0,1.0
0.05,0.34,-0.05,10678,10185,9953,10253,9582,10261,10182,0.0,-364.0,1.0
0.01,0.52,-0.05,10678,10185,9952,10254,9582,10262,10182,0.0,-364.0,0.0
0.00,0.58,-0.00,10678,10185,9951,10254,9582,10261,10182,0.0,-364.0,0.0
