0.27,0,0,0.649999999999636,0.25,1.04999999999927,0.200000000000728,0.200000000000728,-0.100000000000364,0.5,0,-347,0
0,0,0,-0.350000000000364,-0.75,0.0499999999992724,-0.799999999999272,1.20000000000073,0.899999999999636,-0.5,0,-347,0
0,0,-0.05,-0.350000000000364,0.25,0.0499999999992724,-0.799999999999272,0.200000000000728,-0.100000000000364,-0.5,0,-347,0
1.03,0,0.47,-0.350000000000364,-0.75,0.0499999999992724,0.200000000000728,0.200000000000728,-0.100000000000364,0.5,0,-347,0
3.69,0,3.01,0.649999999999636,0.25,-0.950000000000728,-0.799999999999272,-0.799999999999272,-1.10000000000036,-1.5,0,-347,0
6.14,0,2.71,0.649999999999636,-1.75,-1.95000000000073,-1.79999999999927,-1.79999999999927,-1.10000000000036,-5.5,2,-349,3
8.36,0,2.79,-0.350000000000364,-1.75,-1.95000000000073,-3.79999999999927,-2.79999999999927,-2.10000000000036,-8.5,3,-350,7
10.86,0,3.57,-0.350000000000364,-1.75,-5.95000000000073,-4.79999999999927,-2.79999999999927,-2.10000000000036,-12.5,7,-352,11
12.53,0,4.02,-1.35000000000036,-1.75,-6.95000000000073,-5.79999999999927,-2.79999999999927,-3.10000000000036,-16.5,10,-353,15
11.31,0,4.62,-1.35000000000036,-1.75,-6.95000000000073,-6.79999999999927,-4.79999999999927,-4.10000000000036,-21.5,14,-354,19
11.21,0,4.67,-2.35000000000036,-1.75,-7.95000000000073,-7.79999999999927,-4.79999999999927,-4.10000000000036,-30.5,13,-355,21
13.9,0,4.57,-1.35000000000036,-1.75,-7.95000000000073,-7.79999999999927,-4.79999999999927,-3.10000000000036,-36.5,14,-355,22
15.58,0,4.57,-2.35000000000036,-2.75,-9.95000000000073,-8.79999999999927,-5.79999999999927,-5.10000000000036,-41.5,16,-356,24
12.4,0,7.28,-3.35000000000036,-2.75,-9.95000000000073,-9.79999999999927,-5.79999999999927,-5.10000000000036,-45.5,18,-357,27
10.66,0,9.02,-2.35000000000036,-3.75,-9.95000000000073,-9.79999999999927,-6.79999999999927,-4.10000000000036,-46.5,16,-356,28
11.07,0,8.31,-2.35000000000036,-5.75,-7.95000000000073,-10.7999999999993,-8.79999999999927,-4.10000000000036,-47.5,9,-356,28
11.09,0,7.42,-3.35000000000036,-5.75,-8.95000000000073,-10.7999999999993,-8.79999999999927,-5.10000000000036,-47.5,7,-356,28
14.15,0,10.36,-2.35000000000036,-5.75,-8.95000000000073,-11.7999999999993,-9.79999999999927,-5.10000000000036,-51.5,7,-355,29
16.17,0,13.13,-3.35000000000036,-6.75,-10.9500000000007,-11.7999999999993,-11.7999999999993,-6.10000000000036,-57.5,6,-356,32
13.91,0,14.75,-3.35000000000036,-9.75,-9.95000000000073,-13.7999999999993,-12.7999999999993,-6.10000000000036,-62.5,5,-357,38
12.73,0,14.76,-3.35000000000036,-9.75,-8.95000000000073,-14.7999999999993,-13.7999999999993,-7.10000000000036,-64.5,0,-357,41
12.93,0,12.8,-4.35000000000036,-10.75,-8.95000000000073,-14.7999999999993,-13.7999999999993,-7.10000000000036,-66.5,-5,-356,41
12.8,0,10.94,-4.35000000000036,-9.75,-9.95000000000073,-14.7999999999993,-13.7999999999993,-8.10000000000036,-63.5,-6,-356,41
10.03,0,13.05,-3.35000000000036,-10.75,-8.95000000000073,-13.7999999999993,-13.7999999999993,-6.10000000000036,-63.5,-4,-356,40
8.88,0,15.33,-4.35000000000036,-11.75,-7.95000000000073,-12.7999999999993,-14.7999999999993,-6.10000000000036,-62.5,-6,-355,38
11.72,0,13.9,-3.35000000000036,-10.75,-6.95000000000073,-13.7999999999993,-14.7999999999993,-5.10000000000036,-62.5,-12,-354,37
14.36,0,11.93,-4.35000000000036,-11.75,-7.95000000000073,-14.7999999999993,-14.7999999999993,-7.10000000000036,-64.5,-13,-354,39
16.99,0,11.88,-4.35000000000036,-10.75,-9.95000000000073,-14.7999999999993,-13.7999999999993,-7.10000000000036,-67.5,-7,-355,40
17.74,0,10.75,-4.35000000000036,-8.75,-11.9500000000007,-15.7999999999993,-14.7999999999993,-8.10000000000036,-68.5,-3,-357,42
17.17,0,12.7,-6.35000000000036,-9.75,-11.9500000000007,-15.7999999999993,-13.7999999999993,-9.10000000000036,-70.5,2,-358,44
17.15,0,15.46,-5.35000000000036,-10.75,-10.9500000000007,-15.7999999999993,-14.7999999999993,-8.10000000000036,-72.5,3,-358,45
17.77,0,14.75,-5.35000000000036,-10.75,-11.9500000000007,-15.7999999999993,-15.7999999999993,-9.10000000000036,-74.5,0,-358,47
17.95,0,14.41,-4.35000000000036,-10.75,-11.9500000000007,-16.7999999999993,-15.7999999999993,-9.10000000000036,-76.5,-1,-358,49
15.12,0,11.93,-6.35000000000036,-11.75,-11.9500000000007,-17.7999999999993,-16.7999999999993,-9.10000000000036,-75.5,-1,-358,50
12.2,0,10.09,-6.35000000000036,-10.75,-11.9500000000007,-15.7999999999993,-14.7999999999993,-9.10000000000036,-71.5,-1,-358,48
9.93,0,7.37,-6.35000000000036,-9.75,-9.95000000000073,-14.7999999999993,-13.7999999999993,-8.10000000000036,-66.5,-1,-357,43
8.45,0,5.92,-5.35000000000036,-7.75,-9.95000000000073,-13.7999999999993,-12.7999999999993,-8.10000000000036,-60.5,0,-356,38
9.09,0,7.05,-5.35000000000036,-7.75,-7.95000000000073,-12.7999999999993,-11.7999999999993,-6.10000000000036,-56.5,1,-355,33
9.65,0,7.03,-4.35000000000036,-7.75,-7.95000000000073,-11.7999999999993,-11.7999999999993,-6.10000000000036,-55.5,2,-355,30
